country,iso2c,iso3c,year,status,lastupdated,life_expectancy,access_to_electricity,co2_emissions,gdp_per_cap,region,capital,longitude,latitude,income,lending
Africa Eastern and Southern,ZH,AFE,2003,,2025-07-01,53.6783047685822,22.4932167182052,1.09613904669279,1224.80628548513,Aggregates,,,,Aggregates,Aggregates
Africa Eastern and Southern,ZH,AFE,2006,,2025-07-01,55.6935152578453,25.1724823105969,1.14241721233419,1350.73057684768,Aggregates,,,,Aggregates,Aggregates
Africa Eastern and Southern,ZH,AFE,2004,,2025-07-01,54.1929278660434,23.724454932615,1.15029873347481,1259.13592068834,Aggregates,,,,Aggregates,Aggregates
Africa Eastern and Southern,ZH,AFE,2000,,2025-07-01,52.5573418626777,19.9172563342889,1.06224040916636,1196.92976594366,Aggregates,,,,Aggregates,Aggregates
Africa Eastern and Southern,ZH,AFE,2015,,2025-07-01,61.713030523495,33.9222756622758,1.04337266896328,1479.61525980543,Aggregates,,,,Aggregates,Aggregates
Africa Eastern and Southern,ZH,AFE,1998,,2025-07-01,51.3179554721368,NA,1.13612071340755,1190.26744135748,Aggregates,,,,Aggregates,Aggregates
Africa Eastern and Southern,ZH,AFE,1999,,2025-07-01,51.8070772449868,NA,1.07366312681643,1190.1711033462,Aggregates,,,,Aggregates,Aggregates
Africa Eastern and Southern,ZH,AFE,2012,,2025-07-01,60.2495123598467,31.6734274619175,1.07362868730556,1436.27450997855,Aggregates,,,,Aggregates,Aggregates
Africa Eastern and Southern,ZH,AFE,1997,,2025-07-01,51.5708865171429,NA,1.14502167209129,1200.46842325995,Aggregates,,,,Aggregates,Aggregates
Africa Eastern and Southern,ZH,AFE,2011,,2025-07-01,59.2000040300701,28.909756234127,1.06705872289157,1449.85349970149,Aggregates,,,,Aggregates,Aggregates
Africa Eastern and Southern,ZH,AFE,2014,,2025-07-01,61.2514360156709,31.8719561283579,1.09641627194981,1475.73903934085,Aggregates,,,,Aggregates,Aggregates
Africa Eastern and Southern,ZH,AFE,2013,,2025-07-01,60.895739752772,31.7235735731483,1.08644916165911,1457.67290748026,Aggregates,,,,Aggregates,Aggregates
Africa Western and Central,ZI,AFW,2002,,2025-07-01,51.1080235711343,35.809110964429,0.502950753690679,1295.46024656435,Aggregates,,,,Aggregates,Aggregates
Africa Western and Central,ZI,AFW,2001,,2025-07-01,50.6777904131384,35.3232672070551,0.551083898694549,1211.60657416161,Aggregates,,,,Aggregates,Aggregates
Africa Western and Central,ZI,AFW,2010,,2025-07-01,54.603353213388,41.9519903118982,0.456851164651759,1677.42793720229,Aggregates,,,,Aggregates,Aggregates
Africa Western and Central,ZI,AFW,2012,,2025-07-01,55.2927058217917,44.1865003474968,0.47034807932458,1750.0258910552,Aggregates,,,,Aggregates,Aggregates
Africa Western and Central,ZI,AFW,2000,,2025-07-01,50.2979830815751,34.2461158257192,0.533661233260197,1184.3601376623,Aggregates,,,,Aggregates,Aggregates
Africa Western and Central,ZI,AFW,2009,,2025-07-01,53.852245462001,42.0024854401026,0.417316125294391,1611.51321017603,Aggregates,,,,Aggregates,Aggregates
Africa Western and Central,ZI,AFW,1999,,2025-07-01,49.8237633292581,34.8938570379457,0.511601786661486,1172.35079961023,Aggregates,,,,Aggregates,Aggregates
Africa Western and Central,ZI,AFW,1997,,2025-07-01,49.2187834859164,32.5239197544343,0.553488160923332,1177.25439688196,Aggregates,,,,Aggregates,Aggregates
Africa Western and Central,ZI,AFW,2011,,2025-07-01,54.9639734890226,46.0619669218462,0.473954567156266,1711.40576272057,Aggregates,,,,Aggregates,Aggregates
Africa Western and Central,ZI,AFW,1998,,2025-07-01,49.4524590240079,33.513503785092,0.518728096677132,1186.6821217341,Aggregates,,,,Aggregates,Aggregates
Africa Western and Central,ZI,AFW,1995,,2025-07-01,49.027006694122,33.6948353431794,0.507183273692084,1137.96412338866,Aggregates,,,,Aggregates,Aggregates
Africa Western and Central,ZI,AFW,2003,,2025-07-01,51.5781222446253,39.9602539341217,0.52856621056739606,1330.01534966024,Aggregates,,,,Aggregates,Aggregates
Africa Western and Central,ZI,AFW,2004,,2025-07-01,52.106083093576,37.5945022413501,0.510387030502224,1397.57989325249,Aggregates,,,,Aggregates,Aggregates
Africa Western and Central,ZI,AFW,2007,,2025-07-01,53.4824314053449,40.8648618879836,0.437051092228309,1511.39802807784,Aggregates,,,,Aggregates,Aggregates
Africa Western and Central,ZI,AFW,2008,,2025-07-01,53.9162616333208,41.8660146613745,0.451267465340572,1561.49690310715,Aggregates,,,,Aggregates,Aggregates
Africa Western and Central,ZI,AFW,1996,,2025-07-01,49.1115573704458,32.6973945834538,0.571195524813002,1158.68614732857,Aggregates,,,,Aggregates,Aggregates
Africa Western and Central,ZI,AFW,2005,,2025-07-01,52.5557531001128,37.9359101368567,0.500513164604261,1438.7657371855,Aggregates,,,,Aggregates,Aggregates
Africa Western and Central,ZI,AFW,2006,,2025-07-01,52.9787097061283,39.9529044823027,0.464381052277335,1473.575756798,Aggregates,,,,Aggregates,Aggregates
Africa Western and Central,ZI,AFW,2015,,2025-07-01,56.0383356484355,46.8624182524845,0.499586914619379,1860.72769393488,Aggregates,,,,Aggregates,Aggregates
Africa Western and Central,ZI,AFW,2013,,2025-07-01,55.5549074075857,47.1945030733476,0.50440016056654,1805.52643337702,Aggregates,,,,Aggregates,Aggregates
Africa Western and Central,ZI,AFW,2014,,2025-07-01,55.6954463398569,47.7673605462369,0.513469247225856,1857.25875463317,Aggregates,,,,Aggregates,Aggregates
Albania,AL,ALB,2002,,2025-07-01,75.299,99.4,1.3131389277649,2297.10853513924,Europe & Central Asia,Tirane,19.8172,41.3317,Upper middle income,IBRD
Albania,AL,ALB,1999,,2025-07-01,74.568,100,0.992866007157796,1841.80762760566,Europe & Central Asia,Tirane,19.8172,41.3317,Upper middle income,IBRD
Albania,AL,ALB,2014,,2025-07-01,78.029,100,1.76379943401137,3883.63262828191,Europe & Central Asia,Tirane,19.8172,41.3317,Upper middle income,IBRD
Albania,AL,ALB,2015,,2025-07-01,78.358,100,1.68830316766428,3981.72662261867,Europe & Central Asia,Tirane,19.8172,41.3317,Upper middle income,IBRD
Albania,AL,ALB,2013,,2025-07-01,77.995,99.9,1.64737424579253,3790.68016321899,Europe & Central Asia,Tirane,19.8172,41.3317,Upper middle income,IBRD
Albania,AL,ALB,2003,,2025-07-01,75.557,99.4,1.38543816060976,2428.68934653563,Europe & Central Asia,Tirane,19.8172,41.3317,Upper middle income,IBRD
Albania,AL,ALB,1996,,2025-07-01,74.113,100,0.648635920143509,1683.76965547424,Europe & Central Asia,Tirane,19.8172,41.3317,Upper middle income,IBRD
Albania,AL,ALB,1997,,2025-07-01,73.383,100,0.502019991226959,1495.90035328523,Europe & Central Asia,Tirane,19.8172,41.3317,Upper middle income,IBRD
Albania,AL,ALB,1998,,2025-07-01,74.357,100,0.612012670487417,1630.43874131845,Europe & Central Asia,Tirane,19.8172,41.3317,Upper middle income,IBRD
Albania,AL,ALB,2000,,2025-07-01,74.826,99.4,1.04644601682018,1991.91435867116,Europe & Central Asia,Tirane,19.8172,41.3317,Upper middle income,IBRD
Albania,AL,ALB,2011,,2025-07-01,78.303,99.7,1.71699317945955,3677.89457937717,Europe & Central Asia,Tirane,19.8172,41.3317,Upper middle income,IBRD
Albania,AL,ALB,2001,,2025-07-01,75.083,99.4,1.1238907081397,2188.91854451375,Europe & Central Asia,Tirane,19.8172,41.3317,Upper middle income,IBRD
Albania,AL,ALB,2008,,2025-07-01,78.248,100,1.423194135406,3345.98161761476,Europe & Central Asia,Tirane,19.8172,41.3317,Upper middle income,IBRD
Albania,AL,ALB,2012,,2025-07-01,78.084,99.9,1.56285286069064,3720.22876474985,Europe & Central Asia,Tirane,19.8172,41.3317,Upper middle income,IBRD
Albania,AL,ALB,1995,,2025-07-01,74.022,100,0.649353908545874,1558.96638565461,Europe & Central Asia,Tirane,19.8172,41.3317,Upper middle income,IBRD
Albania,AL,ALB,2007,,2025-07-01,77.691,99.4,1.4290827291561,3105.8796756386,Europe & Central Asia,Tirane,19.8172,41.3317,Upper middle income,IBRD
Albania,AL,ALB,2009,,2025-07-01,78.509,99.6,1.46014423817574,3459.24695646692,Europe & Central Asia,Tirane,19.8172,41.3317,Upper middle income,IBRD
Albania,AL,ALB,2010,,2025-07-01,78.414,99.6,1.56432102617866,3579.82413181046,Europe & Central Asia,Tirane,19.8172,41.3317,Upper middle income,IBRD
Albania,AL,ALB,2006,,2025-07-01,76.994,99.4,1.38166585186465,2894.36032580174,Europe & Central Asia,Tirane,19.8172,41.3317,Upper middle income,IBRD
Albania,AL,ALB,2004,,2025-07-01,75.951,99.4,1.45823883467754,2567.29763687121,Europe & Central Asia,Tirane,19.8172,41.3317,Upper middle income,IBRD
Albania,AL,ALB,2005,,2025-07-01,76.427,99.4,1.37755866121952,2712.86983830331,Europe & Central Asia,Tirane,19.8172,41.3317,Upper middle income,IBRD
Algeria,DZ,DZA,1995,,2025-07-01,67.691,NA,2.94401607632348,3255.18726869561,Middle East & North Africa,Algiers,3.05097,36.7397,Upper middle income,IBRD
Algeria,DZ,DZA,2008,,2025-07-01,73.618,99.3,3.26571868233991,4367.56538017541,Middle East & North Africa,Algiers,3.05097,36.7397,Upper middle income,IBRD
Algeria,DZ,DZA,2010,,2025-07-01,74.144,98.9,3.27771433788594,4456.6102741643,Middle East & North Africa,Algiers,3.05097,36.7397,Upper middle income,IBRD
Algeria,DZ,DZA,2004,,2025-07-01,72.536,98.6,2.96128947747975,4066.28204806495,Middle East & North Africa,Algiers,3.05097,36.7397,Upper middle income,IBRD
Algeria,DZ,DZA,2005,,2025-07-01,72.836,98.6,3.06249773288425,4223.60252133943,Middle East & North Africa,Algiers,3.05097,36.7397,Upper middle income,IBRD
Algeria,DZ,DZA,1996,,2025-07-01,68.219,NA,2.80735289072686,3322.95538141474,Middle East & North Africa,Algiers,3.05097,36.7397,Upper middle income,IBRD
Algeria,DZ,DZA,2009,,2025-07-01,73.871,98.8,3.27089446187558,4336.10054052949,Middle East & North Africa,Algiers,3.05097,36.7397,Upper middle income,IBRD
Algeria,DZ,DZA,2007,,2025-07-01,73.346,98.7,3.18555017143317,4339.25055772831,Middle East & North Africa,Algiers,3.05097,36.7397,Upper middle income,IBRD
Algeria,DZ,DZA,2001,,2025-07-01,71.025,98.6,2.73913040286556,3610.00605631983,Middle East & North Africa,Algiers,3.05097,36.7397,Upper middle income,IBRD
Algeria,DZ,DZA,2006,,2025-07-01,73.116,98.7,3.13771562073271,4279.61547120827,Middle East & North Africa,Algiers,3.05097,36.7397,Upper middle income,IBRD
Algeria,DZ,DZA,2011,,2025-07-01,74.383,99,3.38166892915163,4501.3543013352,Middle East & North Africa,Algiers,3.05097,36.7397,Upper middle income,IBRD
Algeria,DZ,DZA,2000,,2025-07-01,70.576,98.6,2.84547322241894,3553.32420521991,Middle East & North Africa,Algiers,3.05097,36.7397,Upper middle income,IBRD
Algeria,DZ,DZA,1999,,2025-07-01,70.088,NA,2.78767517106351,3471.49196276497,Middle East & North Africa,Algiers,3.05097,36.7397,Upper middle income,IBRD
Algeria,DZ,DZA,2002,,2025-07-01,71.644,98.6,2.82462177766349,3754.66081538446,Middle East & North Africa,Algiers,3.05097,36.7397,Upper middle income,IBRD
Algeria,DZ,DZA,2003,,2025-07-01,71.906,98.6,2.99922134069754,3945.89816094007,Middle East & North Africa,Algiers,3.05097,36.7397,Upper middle income,IBRD
Algeria,DZ,DZA,1998,,2025-07-01,69.327,NA,2.70974045400012,3410.88254401644,Middle East & North Africa,Algiers,3.05097,36.7397,Upper middle income,IBRD
Algeria,DZ,DZA,2013,,2025-07-01,74.809,99.2,3.79295442819787,4543.23444006767,Middle East & North Africa,Algiers,3.05097,36.7397,Upper middle income,IBRD
Algeria,DZ,DZA,2015,,2025-07-01,75.159,99.4,4.11954123697958,4685.05902729002,Middle East & North Africa,Algiers,3.05097,36.7397,Upper middle income,IBRD
Algeria,DZ,DZA,1997,,2025-07-01,68.859,NA,2.69177422414411,3297.46603361265,Middle East & North Africa,Algiers,3.05097,36.7397,Upper middle income,IBRD
Algeria,DZ,DZA,2012,,2025-07-01,74.609,98.8,3.72574195204898,4518.43978956464,Middle East & North Africa,Algiers,3.05097,36.7397,Upper middle income,IBRD
Algeria,DZ,DZA,2014,,2025-07-01,74.992,99.3,3.95384969852466,4634.10149179952,Middle East & North Africa,Algiers,3.05097,36.7397,Upper middle income,IBRD
American Samoa,AS,ASM,2015,,2025-07-01,72.654,NA,0.00189114565603843,12727.4102651386,East Asia & Pacific,Pago Pago,-170.691,-14.2846,High income,Not classified
American Samoa,AS,ASM,1998,,2025-07-01,71.542,NA,0.00180720714208263,NA,East Asia & Pacific,Pago Pago,-170.691,-14.2846,High income,Not classified
American Samoa,AS,ASM,1999,,2025-07-01,71.484,NA,0.00177784098990186,NA,East Asia & Pacific,Pago Pago,-170.691,-14.2846,High income,Not classified
American Samoa,AS,ASM,2014,,2025-07-01,72.687,NA,0.00187034751056746,12203.0894714284,East Asia & Pacific,Pago Pago,-170.691,-14.2846,High income,Not classified
American Samoa,AS,ASM,2000,,2025-07-01,71.443,NA,0.00175886025855246,NA,East Asia & Pacific,Pago Pago,-170.691,-14.2846,High income,Not classified
American Samoa,AS,ASM,2012,,2025-07-01,72.709,NA,0.00183523279928059,12068.2667374983,East Asia & Pacific,Pago Pago,-170.691,-14.2846,High income,Not classified
American Samoa,AS,ASM,1997,,2025-07-01,71.606,NA,0.00183952025311799,NA,East Asia & Pacific,Pago Pago,-170.691,-14.2846,High income,Not classified
American Samoa,AS,ASM,2013,,2025-07-01,72.769,NA,0.00185164611339481,11871.7937192729,East Asia & Pacific,Pago Pago,-170.691,-14.2846,High income,Not classified
American Samoa,AS,ASM,2011,,2025-07-01,72.662,NA,0.0018216595318335,12521.8095058644,East Asia & Pacific,Pago Pago,-170.691,-14.2846,High income,Not classified
American Samoa,AS,ASM,2009,,2025-07-01,70.839,NA,0.00180089324304855,12342.0575384016,East Asia & Pacific,Pago Pago,-170.691,-14.2846,High income,Not classified
American Samoa,AS,ASM,1996,,2025-07-01,71.576,NA,0.00187430884861207,NA,East Asia & Pacific,Pago Pago,-170.691,-14.2846,High income,Not classified
American Samoa,AS,ASM,2006,,2025-07-01,72.397,NA,0.00177386738567425,12794.7565021718,East Asia & Pacific,Pago Pago,-170.691,-14.2846,High income,Not classified
American Samoa,AS,ASM,2010,,2025-07-01,72.587,NA,0.00181067574418773,12446.3086265015,East Asia & Pacific,Pago Pago,-170.691,-14.2846,High income,Not classified
American Samoa,AS,ASM,1995,,2025-07-01,71.565,NA,0.0019114611208808,NA,East Asia & Pacific,Pago Pago,-170.691,-14.2846,High income,Not classified
American Samoa,AS,ASM,2004,,2025-07-01,72.277,NA,0.00176000563201802,13291.5356626851,East Asia & Pacific,Pago Pago,-170.691,-14.2846,High income,Not classified
American Samoa,AS,ASM,2005,,2025-07-01,72.382,NA,0.00176625395199322,13284.2791128875,East Asia & Pacific,Pago Pago,-170.691,-14.2846,High income,Not classified
American Samoa,AS,ASM,2007,,2025-07-01,72.365,NA,0.00178211822572309,13092.3111393408,East Asia & Pacific,Pago Pago,-170.691,-14.2846,High income,Not classified
American Samoa,AS,ASM,2008,,2025-07-01,72.43,NA,0.00179121587733754,12809.4633079683,East Asia & Pacific,Pago Pago,-170.691,-14.2846,High income,Not classified
American Samoa,AS,ASM,2001,,2025-07-01,71.573,NA,0.00175275620913887,NA,East Asia & Pacific,Pago Pago,-170.691,-14.2846,High income,Not classified
American Samoa,AS,ASM,2003,,2025-07-01,71.698,NA,0.0017552790015973,13201.7347516166,East Asia & Pacific,Pago Pago,-170.691,-14.2846,High income,Not classified
American Samoa,AS,ASM,2002,,2025-07-01,71.755,NA,0.00175247975885879,13054.6364326897,East Asia & Pacific,Pago Pago,-170.691,-14.2846,High income,Not classified
Andorra,AD,AND,1996,,2025-07-01,81.009,100,NA,28871.2160741757,Europe & Central Asia,Andorra la Vella,1.5218,42.5075,High income,Not classified
Andorra,AD,AND,1997,,2025-07-01,81.145,100,NA,31140.6896808445,Europe & Central Asia,Andorra la Vella,1.5218,42.5075,High income,Not classified
Andorra,AD,AND,1995,,2025-07-01,80.804,100,NA,27619.5060608184,Europe & Central Asia,Andorra la Vella,1.5218,42.5075,High income,Not classified
Andorra,AD,AND,2010,,2025-07-01,84.197,100,NA,36277.2644412087,Europe & Central Asia,Andorra la Vella,1.5218,42.5075,High income,Not classified
Andorra,AD,AND,2011,,2025-07-01,84.296,100,NA,37637.4868329126,Europe & Central Asia,Andorra la Vella,1.5218,42.5075,High income,Not classified
Andorra,AD,AND,2009,,2025-07-01,84.1,100,NA,35604.3840085198,Europe & Central Asia,Andorra la Vella,1.5218,42.5075,High income,Not classified
Andorra,AD,AND,2008,,2025-07-01,83.855,100,NA,37775.1261390552,Europe & Central Asia,Andorra la Vella,1.5218,42.5075,High income,Not classified
Andorra,AD,AND,2006,,2025-07-01,83.374,100,NA,41322.0529198761,Europe & Central Asia,Andorra la Vella,1.5218,42.5075,High income,Not classified
Andorra,AD,AND,2005,,2025-07-01,83.086,100,NA,40528.1748609004,Europe & Central Asia,Andorra la Vella,1.5218,42.5075,High income,Not classified
Andorra,AD,AND,2007,,2025-07-01,83.632,100,NA,40789.1589682857,Europe & Central Asia,Andorra la Vella,1.5218,42.5075,High income,Not classified
Andorra,AD,AND,2003,,2025-07-01,82.718,100,NA,39620.3201590697,Europe & Central Asia,Andorra la Vella,1.5218,42.5075,High income,Not classified
Andorra,AD,AND,2004,,2025-07-01,82.815,100,NA,40054.3211516798,Europe & Central Asia,Andorra la Vella,1.5218,42.5075,High income,Not classified
Andorra,AD,AND,1998,,2025-07-01,81.28,100,NA,31800.3640667052,Europe & Central Asia,Andorra la Vella,1.5218,42.5075,High income,Not classified
Andorra,AD,AND,2002,,2025-07-01,82.448,100,NA,38084.4843094685,Europe & Central Asia,Andorra la Vella,1.5218,42.5075,High income,Not classified
Andorra,AD,AND,2000,,2025-07-01,81.863,100,NA,34113.8173771495,Europe & Central Asia,Andorra la Vella,1.5218,42.5075,High income,Not classified
Andorra,AD,AND,2001,,2025-07-01,82.162,100,NA,36790.1037072591,Europe & Central Asia,Andorra la Vella,1.5218,42.5075,High income,Not classified
Andorra,AD,AND,2015,,2025-07-01,84.532,100,NA,38654.9347203095,Europe & Central Asia,Andorra la Vella,1.5218,42.5075,High income,Not classified
Andorra,AD,AND,1999,,2025-07-01,81.55,100,NA,32938.6437399807,Europe & Central Asia,Andorra la Vella,1.5218,42.5075,High income,Not classified
Andorra,AD,AND,2013,,2025-07-01,84.406,100,NA,35684.169433471,Europe & Central Asia,Andorra la Vella,1.5218,42.5075,High income,Not classified
Andorra,AD,AND,2014,,2025-07-01,84.485,100,NA,37300.6244183478,Europe & Central Asia,Andorra la Vella,1.5218,42.5075,High income,Not classified
Andorra,AD,AND,2012,,2025-07-01,84.334,100,NA,36206.9784343227,Europe & Central Asia,Andorra la Vella,1.5218,42.5075,High income,Not classified
Angola,AO,AGO,2005,,2025-07-01,52.13,29.4,0.810676972733782,2526.41057941008,Sub-Saharan Africa,Luanda,13.242,-8.81155,Lower middle income,IBRD
Angola,AO,AGO,2003,,2025-07-01,50.218,27.4,0.965775643300561,2128.19579323903,Sub-Saharan Africa,Luanda,13.242,-8.81155,Lower middle income,IBRD
Angola,AO,AGO,2004,,2025-07-01,51.123,28.4,0.951069768682142,2277.86696532928,Sub-Saharan Africa,Luanda,13.242,-8.81155,Lower middle income,IBRD
Angola,AO,AGO,2000,,2025-07-01,46.501,24.2,1.01957601509466,1932.98847886814,Sub-Saharan Africa,Luanda,13.242,-8.81155,Lower middle income,IBRD
Angola,AO,AGO,1997,,2025-07-01,46.688,NA,1.11880204193429,1936.91619338589,Sub-Saharan Africa,Luanda,13.242,-8.81155,Lower middle income,IBRD
Angola,AO,AGO,2001,,2025-07-01,47.032,20,0.966865641126569,1947.85672988915,Sub-Saharan Africa,Luanda,13.242,-8.81155,Lower middle income,IBRD
Angola,AO,AGO,2015,,2025-07-01,61.042,42,1.1754292718486,3213.90261080059,Sub-Saharan Africa,Luanda,13.242,-8.81155,Lower middle income,IBRD
Angola,AO,AGO,2014,,2025-07-01,60.396,32,1.13720270585859,3300.73510980871,Sub-Saharan Africa,Luanda,13.242,-8.81155,Lower middle income,IBRD
Angola,AO,AGO,1996,,2025-07-01,46.418,NA,1.10640250320144,1867.93503101029,Sub-Saharan Africa,Luanda,13.242,-8.81155,Lower middle income,IBRD
Angola,AO,AGO,2011,,2025-07-01,58.093,34.6,0.976532176921039,3099.9422899117,Sub-Saharan Africa,Luanda,13.242,-8.81155,Lower middle income,IBRD
Angola,AO,AGO,2002,,2025-07-01,47.874,26.3,0.91849471761946,2139.87259662901,Sub-Saharan Africa,Luanda,13.242,-8.81155,Lower middle income,IBRD
Angola,AO,AGO,1995,,2025-07-01,46.139,NA,0.945511671794974,1701.69727652709,Sub-Saharan Africa,Luanda,13.242,-8.81155,Lower middle income,IBRD
Angola,AO,AGO,2009,,2025-07-01,56.225,33.8,0.940848252177258,3100.60927365473,Sub-Saharan Africa,Luanda,13.242,-8.81155,Lower middle income,IBRD
Angola,AO,AGO,2010,,2025-07-01,57.242,35,0.976178185498281,3114.69608592822,Sub-Saharan Africa,Luanda,13.242,-8.81155,Lower middle income,IBRD
Angola,AO,AGO,1998,,2025-07-01,45.452,NA,1.12381978934481,1961.03722525713,Sub-Saharan Africa,Luanda,13.242,-8.81155,Lower middle income,IBRD
Angola,AO,AGO,1999,,2025-07-01,45.808,NA,1.15089867484594,1938.86184025918,Sub-Saharan Africa,Luanda,13.242,-8.81155,Lower middle income,IBRD
Angola,AO,AGO,2013,,2025-07-01,59.705,38.4,1.09052260179579,3268.63890723473,Sub-Saharan Africa,Luanda,13.242,-8.81155,Lower middle income,IBRD
Angola,AO,AGO,2006,,2025-07-01,52.965,30.5,0.815387085036386,2716.25302638209,Sub-Saharan Africa,Luanda,13.242,-8.81155,Lower middle income,IBRD
Angola,AO,AGO,2012,,2025-07-01,58.916,37.3,0.981682218580684,3236.57494513146,Sub-Saharan Africa,Luanda,13.242,-8.81155,Lower middle income,IBRD
Angola,AO,AGO,2008,,2025-07-01,55.281,38.5,0.886032980276111,3193.28772270836,Sub-Saharan Africa,Luanda,13.242,-8.81155,Lower middle income,IBRD
Angola,AO,AGO,2007,,2025-07-01,54.2,37.5,0.820836438095978,2983.0418728513,Sub-Saharan Africa,Luanda,13.242,-8.81155,Lower middle income,IBRD
Antigua and Barbuda,AG,ATG,1998,,2025-07-01,74.187,97.1449813842773,2.7288294757775,14991.7802610684,Latin America & Caribbean,Saint John's,-61.8456,17.1175,High income,IBRD
Antigua and Barbuda,AG,ATG,2007,,2025-07-01,75.72,100,2.62288260060707,20770.2689732844,Latin America & Caribbean,Saint John's,-61.8456,17.1175,High income,IBRD
